Begin train
Train graph contains 544230 triples
Train data contains 544230 triples
reward: 0.005859375
reward: 0.0064453125
reward: 0.008203125
reward: 0.005859375
reward: 0.006640625
reward: 0.006640625
reward: 0.0080078125
reward: 0.002734375
reward: 0.00625
reward: 0.009765625
reward: 0.0060546875
reward: 0.00546875
reward: 0.0056640625
reward: 0.0046875
reward: 0.0044921875
reward: 0.0068359375
reward: 0.0060546875
reward: 0.0056640625
reward: 0.005078125
reward: 0.00625
reward: 0.005078125
reward: 0.0056640625
reward: 0.00625
reward: 0.007421875
reward: 0.0080078125
reward: 0.005078125
reward: 0.0078125
reward: 0.0080078125
reward: 0.0052734375
reward: 0.00703125
reward: 0.00625
reward: 0.0072265625
reward: 0.00703125
reward: 0.005078125
reward: 0.0111328125
reward: 0.0048828125
reward: 0.007421875
reward: 0.0103515625
reward: 0.008984375
reward: 0.006640625
reward: 0.0091796875
reward: 0.0076171875
reward: 0.00859375
reward: 0.009765625
reward: 0.00625
reward: 0.00703125
reward: 0.0076171875
reward: 0.0083984375
reward: 0.0048828125
reward: 0.00703125
reward: 0.0095703125
reward: 0.0109375
reward: 0.0126953125
reward: 0.009375
reward: 0.008984375
reward: 0.0087890625
reward: 0.0078125
reward: 0.011328125
reward: 0.0099609375
reward: 0.008203125
reward: 0.0123046875
reward: 0.0109375
reward: 0.0068359375
reward: 0.006640625
reward: 0.0080078125
reward: 0.0130859375
reward: 0.009375
reward: 0.01015625
reward: 0.0107421875
reward: 0.0060546875
reward: 0.0103515625
reward: 0.0134765625
reward: 0.0076171875
reward: 0.010546875
reward: 0.0080078125
reward: 0.012109375
reward: 0.0076171875
reward: 0.0103515625
reward: 0.01015625
reward: 0.01015625
reward: 0.0130859375
reward: 0.0099609375
reward: 0.0158203125
reward: 0.0091796875
reward: 0.0119140625
reward: 0.0125
reward: 0.0130859375
reward: 0.009765625
reward: 0.01328125
reward: 0.0109375
reward: 0.0140625
reward: 0.009765625
reward: 0.0115234375
reward: 0.017578125
reward: 0.0091796875
reward: 0.011328125
reward: 0.0099609375
reward: 0.0134765625
reward: 0.009375
reward: 0.015234375
reward: 0.008984375
reward: 0.015625
reward: 0.0134765625
reward: 0.0134765625
reward: 0.0115234375
reward: 0.009375
reward: 0.0158203125
reward: 0.0158203125
reward: 0.0111328125
reward: 0.010546875
reward: 0.0078125
reward: 0.008203125
reward: 0.01328125
reward: 0.0107421875
reward: 0.0134765625
reward: 0.0126953125
reward: 0.0169921875
reward: 0.01953125
reward: 0.016015625
reward: 0.01796875
reward: 0.009765625
reward: 0.0123046875
reward: 0.02265625
reward: 0.0205078125
reward: 0.0166015625
reward: 0.0103515625
reward: 0.014453125
reward: 0.0197265625
reward: 0.01171875
reward: 0.0193359375
reward: 0.006640625
reward: 0.0142578125
reward: 0.016796875
reward: 0.0212890625
reward: 0.0125
reward: 0.0140625
reward: 0.0142578125
reward: 0.0134765625
reward: 0.0208984375
reward: 0.0193359375
reward: 0.0162109375
reward: 0.0166015625
reward: 0.0248046875
reward: 0.0146484375
reward: 0.0125
reward: 0.01953125
reward: 0.023828125
reward: 0.0203125
reward: 0.02421875
reward: 0.021484375
reward: 0.0189453125
reward: 0.026953125
reward: 0.02421875
reward: 0.0185546875
reward: 0.0224609375
reward: 0.01328125
reward: 0.0259765625
reward: 0.01953125
reward: 0.0244140625
reward: 0.0375
reward: 0.0166015625
reward: 0.017578125
reward: 0.038671875
reward: 0.0228515625
reward: 0.03125
reward: 0.020703125
reward: 0.0228515625
reward: 0.02421875
reward: 0.0107421875
reward: 0.028125
reward: 0.018359375
reward: 0.009765625
reward: 0.0224609375
reward: 0.014453125
reward: 0.0267578125
reward: 0.033984375
reward: 0.0236328125
reward: 0.019921875
reward: 0.030078125
reward: 0.0240234375
reward: 0.0294921875
reward: 0.0173828125
reward: 0.0294921875
reward: 0.02734375
reward: 0.0275390625
reward: 0.0251953125
reward: 0.0236328125
reward: 0.02578125
reward: 0.0296875
reward: 0.0376953125
reward: 0.026953125
reward: 0.0255859375
reward: 0.0171875
reward: 0.035546875
reward: 0.01328125
reward: 0.0216796875
reward: 0.0451171875
reward: 0.0298828125
reward: 0.026171875
reward: 0.015234375
reward: 0.0390625
